zi_baseinstrument_dev30577_sigouts0_amplitudes1_value,count,Theta,X
0.001,170.17017017017,-4.3636409290644,7.44719419404998e-06
0.001,171.171171171171,-0.34444692316916,7.27307880738079e-06
0.001,172.172172172172,2.53111230394251,7.62146885553403e-06
0.001,173.173173173173,-11.1028157629356,6.77450130081727e-06
0.001,174.174174174174,2.08561943515861,7.94810890582426e-06
0.001,175.175175175175,-8.29925513872553,6.43078865829776e-06
0.001,176.176176176176,-0.508972566551254,7.95448107301109e-06
0.001,177.177177177177,4.9799033310495,7.54228689655891e-06
0.001,178.178178178178,-4.51907078906855,6.25715867219814e-06
0.001,179.179179179179,4.91364704174169,7.91874472610469e-06
0.001,180.18018018018,-4.28136617801625,6.97579400990309e-06
0.001,181.181181181181,-3.15691357125447,7.19386578042003e-06
0.001,182.182182182182,0.846977216563085,7.42109814324696e-06
0.001,183.183183183183,-5.43672261019712,7.07053057580538e-06
0.001,184.184184184184,-7.54537127601212,6.9204047247995e-06
0.001,185.185185185185,5.0784861268888,8.02096074804302e-06
0.001,186.186186186186,-2.62996472520883,7.07367895496253e-06
0.001,187.187187187187,-5.46973961863573,6.67678913839252e-06
0.001,188.188188188188,3.32078711177294,8.19070523912962e-06
0.001,189.189189189189,0.819327462031814,7.63954484385903e-06
0.001,190.19019019019,-2.09123035167518,6.80280793570243e-06
0.001,191.191191191191,0.952335082249637,7.71866960015359e-06
0.001,192.192192192192,-1.86282076103037,6.82183634278566e-06
0.001,193.193193193193,-5.15637169556796,7.02127619009659e-06
0.001,194.194194194194,4.41701201687236,7.84818257680863e-06
0.001,195.195195195195,-1.31553917613562,7.33468961811513e-06
0.001,196.196196196196,-4.27684354679829,6.35001618290096e-06
0.001,197.197197197197,-4.56465755267292,6.77344604643927e-06
0.001,198.198198198198,-3.98817700863567,7.31074483444624e-06
0.001,199.199199199199,3.78770536612762,6.93264204609183e-06
0.001,200.2002002002,-7.17683744524069,6.96590111756866e-06
0.001,201.201201201201,3.59014003952579,7.55409079302323e-06
0.001,202.202202202202,5.9496171850963,8.20788554153972e-06
0.001,203.203203203203,-0.80946686809287,6.90517647854568e-06
0.001,204.204204204204,-2.66273056311512,6.91195141368243e-06
0.001,205.205205205205,0.394893936672815,7.26090485538242e-06
